Date,Close,Volume,Open,High,Low,Year,Month,Quarter,DayOfWeek
2025-10-15,202.77828792883702,13553378827.238491,202.77828792883702,202.77828792883702,202.77828792883702,2025,10,4,2
2025-10-16,193.96279214560616,9764892301.796349,193.96279214560616,193.96279214560616,193.96279214560616,2025,10,4,3
2025-10-17,184.57406686923576,9925743378.18117,184.57406686923576,184.57406686923576,184.57406686923576,2025,10,4,4
2025-10-18,182.07052141400303,10314262292.923399,182.07052141400303,182.07052141400303,182.07052141400303,2025,10,4,5
2025-10-19,187.55870371602296,4080705643.636593,187.55870371602296,187.55870371602296,187.55870371602296,2025,10,4,6
2025-10-20,187.62095813065147,4866494598.220849,187.62095813065147,187.62095813065147,187.62095813065147,2025,10,4,0
2025-10-21,189.83490809801577,6130975032.123,189.83490809801577,189.83490809801577,189.83490809801577,2025,10,4,1
2025-10-22,185.78992071057104,8140307547.666378,185.78992071057104,185.78992071057104,185.78992071057104,2025,10,4,2
2025-10-23,180.02645418265774,7331527656.706337,180.02645418265774,180.02645418265774,180.02645418265774,2025,10,4,3
2025-10-24,191.42417371185576,6328717665.982079,191.42417371185576,191.42417371185576,191.42417371185576,2025,10,4,4
2025-10-25,193.47566388653937,5836419855.507742,193.47566388653937,193.47566388653937,193.47566388653937,2025,10,4,5
2025-10-26,194.011016152678,3143145861.3248463,194.011016152678,194.011016152678,194.011016152678,2025,10,4,6
2025-10-27,200.07095684438153,4807959121.519227,200.07095684438153,200.07095684438153,200.07095684438153,2025,10,4,0
2025-10-28,198.81130112961708,6699989320.198287,198.81130112961708,198.81130112961708,198.81130112961708,2025,10,4,1
2025-10-29,194.40531681984675,8022554748.305202,194.40531681984675,194.40531681984675,194.40531681984675,2025,10,4,2
2025-10-30,194.22060377742542,8179014087.802186,194.22060377742542,194.22060377742542,194.22060377742542,2025,10,4,3
2025-10-31,184.28637111326051,8507378052.630039,184.28637111326051,184.28637111326051,184.28637111326051,2025,10,4,4
2025-11-01,187.2627467672827,5793893051.801109,187.2627467672827,187.2627467672827,187.2627467672827,2025,11,4,5
2025-11-02,186.3556506725306,2712449199.879818,186.3556506725306,186.3556506725306,186.3556506725306,2025,11,4,6
2025-11-03,187.19632465985816,3242429378.753831,187.19632465985816,187.19632465985816,187.19632465985816,2025,11,4,0
2025-11-04,165.92718959407298,9778486257.676378,165.92718959407298,165.92718959407298,165.92718959407298,2025,11,4,1
2025-11-05,155.5134380549323,11455410012.209955,155.5134380549323,155.5134380549323,155.5134380549323,2025,11,4,2
2025-11-06,162.64616988523213,6883947244.13202,162.64616988523213,162.64616988523213,162.64616988523213,2025,11,4,3
